Name,Name copy,Responsable,Deadline manual,tiempo (seg),Horas,Horass,Estado,Descripción/enlace del archivo
"2 - HS, B, G - Reunión de seguimeinto de proceso",Reunión de seguimeinto de proceso,"HS,B,G",7/23/2025,120.0,2.0,2.0,To do,
4 - G - Revisar Entity schemas de Wikidata para la ontología y hacer una pre-selección,Revisar Entity schemas de Wikidata para la ontología y hacer una pre-selección,G,7/24/2025,240.0,4.0,4.0,To do,
2 - G - Construir ontología - Censura,Construir ontología - Censura,G,7/28/2025,120.0,2.0,2.0,To do,
4 - B - Revisar Entity schemas de Wikidata para la ontología y hacer una pre-selección (B),Revisar Entity schemas de Wikidata para la ontología y hacer una pre-selección (B),B,7/28/2025,240.0,4.0,4.0,To do,"https://www.wikidata.org/wiki/Wikidata:Schemas

https://www.wikidata.org/wiki/Wikidata:Database_reports/EntitySchema_directory "
4 - G - Construir ontología de Censura,Construir ontología de Censura,G,7/29/2025,240.0,4.0,4.0,To do,
4 - B - Hacer ontología de SIDBRINT,Hacer ontología de SIDBRINT,B,7/29/2025,240.0,4.0,4.0,To do,
4 - B - Revisar ontología de Censura,Revisar ontología de Censura,B,7/30/2025,240.0,4.0,4.0,To do,
3 - G - Revisar ontología de SIDBRINT,Revisar ontología de SIDBRINT,G,7/30/2025,180.0,3.0,3.0,To do,
0.3 - B - Enviar a Miquel para revisión SIDBRINT,Enviar a Miquel para revisión SIDBRINT,B,7/31/2025,20.0,0.3,0.3,To do,
4 - B - Aplicar retroalimentación de ontología SIDBRINT,Aplicar retroalimentación de ontología SIDBRINT,B,8/1/2025,240.0,4.0,4.0,To do,
0.3 - G - Enviar a Miquel para revisión Censura,Enviar a Miquel para revisión Censura,G,8/1/2025,20.0,0.3,0.3,To do,
4 - G - Aplicar retroalimentación de ontología Censura,Aplicar retroalimentación de ontología Censura,G,8/4/2025,240.0,4.0,4.0,To do,
